date,subjID,subjSex,treatment,stimuli_angle_size,trialn,noisesize,stimn,eye,angle,side,stim_type,turn,turnside,turndelay,peakmagnitude,peakduration
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,ALE,none,Left,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,ALE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Left,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,ALE,none,Left,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Left,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Left,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Left,none,1,Left,1.027213573,39.22412109,0.441436768
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,ALE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,ALE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,ALE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Left,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,ALE,none,Left,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,ALE,none,Left,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,PLE,none,Right,none,0,,,,
6/7/2024,SD008PI171,F,C,4,1,4,,ALE,none,Left,none,0,,,,
