date,subjID,subjSex,treatment,stimuli_angle_pos,stimuli_angle_size,trialn,noisesize,stimn,side,stim_type,turn,turnside,turndelay,peakmagnitude,peakduration
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,1,Right,0.0093770027160644,18.56299591064453,0.7499570846557617
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,1,Right,0.001676321029663,47.37214660644531,0.8500247001647949
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
2024-04-09,SO001PD021,F,C,40,4,1,4,,,none,0,,,,
